code,trade_quote,time,time_actual,trade_price,open,high,low,ask_price_trade,bid_price_trade,ask_amount_trade,bid_amount_trade,change,volume,acc_volume,acc_buy_volume,acc_sell_volume,trade_buy_sell,trade_incoming_option,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_amount_1,ask_amount_2,ask_amount_3,ask_amount_4,ask_amount_5,ask_amount_total,ask_count_1,ask_count_2,ask_count_3,ask_count_4,ask_count_5,ask_count_total,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_amount_1,bid_amount_2,bid_amount_3,bid_amount_4,bid_amount_5,bid_amount_total,bid_count_1,bid_count_2,bid_count_3,bid_count_4,bid_count_5,bid_count_total
167R9,quote,152716,15:27:17.787177,,,,,,,,,,,,,,,,128.08,128.09,128.1,128.11,128.12,121,85,178,147,234,5753,9,8,16,13,12,718,128.06,128.05,128.04,128.03,128.02,47,146,168,126,55,4834,7,14,13,9,12,555
167R9,quote,152716,15:27:17.788199,,,,,,,,,,,,,,,,128.08,128.09,128.1,128.11,128.12,121,85,178,147,234,5753,9,8,16,13,12,718,128.06,128.05,128.04,128.03,128.02,47,162,168,126,55,4850,7,15,13,9,12,556
167R9,quote,152716,15:27:17.789197,,,,,,,,,,,,,,,,128.08,128.09,128.1,128.11,128.12,121,85,178,147,234,5753,9,8,16,13,12,718,128.06,128.05,128.04,128.03,128.02,47,146,168,126,55,4834,7,14,13,9,12,555
167R9,quote,152716,15:27:18.097349,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,10,121,85,178,147,5763,1,9,8,16,13,719,128.06,128.05,128.04,128.03,128.02,47,146,168,126,55,4834,7,14,13,9,12,555
167R9,quote,152716,15:27:18.157188,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,11,121,85,178,147,5764,2,9,8,16,13,720,128.06,128.05,128.04,128.03,128.02,47,146,168,126,55,4834,7,14,13,9,12,555
167R9,quote,152716,15:27:18.224008,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,13,121,85,178,147,5766,3,9,8,16,13,721,128.06,128.05,128.04,128.03,128.02,47,146,168,126,55,4834,7,14,13,9,12,555
167R9,quote,152716,15:27:18.284845,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,18,121,85,178,147,5771,4,9,8,16,13,722,128.06,128.05,128.04,128.03,128.02,47,146,168,126,55,4834,7,14,13,9,12,555
167R9,quote,152717,15:27:18.474340,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,18,121,85,178,147,5771,4,9,8,16,13,722,128.06,128.05,128.04,128.03,128.02,47,146,168,126,55,4834,7,14,13,9,12,555
167R9,quote,152719,15:27:20.782244,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,18,121,85,178,147,5771,4,9,8,16,13,722,128.06,128.05,128.04,128.03,128.02,47,146,168,126,55,4834,7,14,13,9,12,555
167R9,quote,152719,15:27:20.845088,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,18,121,85,178,147,5771,4,9,8,16,13,722,128.06,128.05,128.04,128.03,128.02,47,146,184,126,55,4850,7,14,14,9,12,556
167R9,quote,152720,15:27:21.285830,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,18,121,85,178,147,5771,4,9,8,16,13,722,128.06,128.05,128.04,128.03,128.02,47,146,184,126,55,4850,7,14,14,9,12,556
167R9,quote,152720,15:27:21.472332,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,18,121,85,178,147,5771,4,9,8,16,13,722,128.06,128.05,128.04,128.03,128.02,47,146,184,126,55,4850,7,14,14,9,12,556
167R9,quote,152720,15:27:21.535159,,,,,,,,,,,,,,,,128.07,128.08,128.09,128.1,128.11,18,121,85,178,147,5771,4,9,8,16,13,722,128.06,128.05,128.04,128.03,128.02,47,146,184,126,55,4850,7,14,14,9,12,556
